interval_id,p01i,tmpf,dwpf,relh,drct,sknt,alti,mslp,vsby,next_p01i
407,0.0,0.435,0.3016085790884719,0.4007665106824486,0.0,0.0,0.8386730932804083,0.9631917090519712,0.0038690417738672,0.02
566,0.0050251256281407,0.51,0.3126675603217158,0.3114531941474157,0.4722222222222222,0.0621079436059872,0.8381060391267366,0.9626180733488852,0.0068150126676748,0.03
567,0.0150753768844221,0.5,0.3186997319034853,0.3405890698117603,0.4444444444444444,0.0745295323271846,0.837538984973065,0.9618532257447704,0.0068150126676748,0.05
568,0.0251256281407035,0.5,0.3237265415549598,0.3535477586973553,0.4166666666666667,0.0558971492453884,0.8369719308193934,0.9613751959921985,0.0068150126676748,0.07
569,0.0351758793969849,0.5,0.3237265415549598,0.3535477586973553,0.4444444444444444,0.0558971492453884,0.8364048766657217,0.960705954338598,0.0058330223697389,0.07
570,0.0351758793969849,0.51,0.3297587131367292,0.3537595019797998,0.4444444444444444,0.0683187379665859,0.8358378225120499,0.9600367126849976,0.0068150126676748,0.07
571,0.0351758793969849,0.5283333333333333,0.3357908847184986,0.3413513456285599,0.4722222222222222,0.0931619154089808,0.8349872412815424,0.9588894412788252,0.0087789932635465,0.05
572,0.0251256281407035,0.5366666666666666,0.3408176943699731,0.3415630889110043,0.4722222222222222,0.0807403266877833,0.8341366600510349,0.9579333817736816,0.0087789932635465,0.02
577,0.0,0.5833333333333334,0.362935656836461,0.3282232621170094,0.4722222222222222,0.043475560524191,0.8281825914374823,0.9510497533366477,0.0097609835614824,0.02
578,0.0100502512562814,0.5833333333333334,0.3689678284182306,0.3427488512926928,0.4444444444444444,0.0310539718029936,0.827048483130139,0.9498068759799608,0.0097609835614824,0.04
579,0.0201005025125628,0.6116666666666667,0.3800268096514745,0.3291125839032757,0.4722222222222222,0.0993727097695795,0.825347320669124,0.9477991510191596,0.0097609835614824,0.03
580,0.0150753768844221,0.6116666666666667,0.3800268096514745,0.3291125839032757,0.4722222222222222,0.0745295323271846,0.8242132123617806,0.9465562736624726,0.0097609835614824,0.09
581,0.0452261306532663,0.6016666666666667,0.386058981233244,0.3582061109111314,0.6111111111111112,0.0372647661635923,0.8227955769776014,0.9449309725037286,0.0097609835614824,0.12
582,0.0603015075376884,0.5833333333333334,0.386058981233244,0.3869185000105872,0.4444444444444444,0.043475560524191,0.8227955769776014,0.9448353665532142,0.0028870514759314,0.08
583,0.0402010050251256,0.5933333333333333,0.386058981233244,0.3709530565142821,0.4444444444444444,0.0621079436059872,0.821661468670258,0.9434012772954988,0.0087789932635465,0.02
584,0.0100502512562814,0.6016666666666667,0.386058981233244,0.3582061109111314,0.5,0.0372647661635923,0.8208108874397506,0.9426364296913838,0.0097609835614824,0.08
585,0.0402010050251256,0.575,0.3739946380697052,0.3680733478730387,0.75,0.0621079436059872,0.8213779415934223,0.9433056713449844,0.0038690417738672,0.02
651,0.0,0.3616666666666667,0.2463136729222519,0.3675651639951722,0.6111111111111112,0.0372647661635923,0.8434930535866176,0.9691192779838615,0.0019050611779955,0.02
653,0.0050251256281407,0.3333333333333333,0.2292225201072386,0.3670993287737947,0.75,0.0186323830817961,0.8423589452792742,0.9678764006271752,0.0016595636035115,0.02
793,0.0050251256281407,0.3333333333333333,0.2292225201072386,0.3670993287737947,0.0,0.0,0.8457612702013043,0.9717006386477496,0.0019050611779955,0.02
804,0.0050251256281407,0.37,0.2402815013404825,0.3369470853537172,0.8055555555555556,0.0248431774423948,0.8483130138928268,0.9744732112126658,0.0004320757310917,0.02
1144,0.0,0.38,0.257372654155496,0.3678616045905944,0.75,0.0745295323271846,0.8315849163595124,0.9555432330108224,0.0001865781566078,0.03
