Source,Normalization,Layers,Random State,R^2,MSE,RMSE,Pearson Corr,Runtime
ROC+BUF+SYR+ALB,MinMax,2,None,-0.5418210230119389,0.012690774920277825,0.11265333958777177,0.14208996612039446,44.265625
ROC+BUF+SYR+ALB,MinMax,2,0,-0.025302553772410308,0.010306709671974012,0.101521966450488,0.2163021377969294,44.03125
ROC+BUF+SYR+ALB,MinMax,2,42,-0.08283086196956613,0.012738488430247023,0.1128649123077984,0.07411470463363236,43.625
ROC+BUF+SYR+ALB,MinMax,3,None,-0.05513597496507905,0.009277105890103018,0.09631773403741918,0.10820044166393084,44.109375
ROC+BUF+SYR+ALB,MinMax,3,0,0.001059918691914019,0.010041704626462818,0.10020830617500137,0.182589663395158,43.96875
ROC+BUF+SYR+ALB,MinMax,3,42,0.03812946284063545,0.011315503777490623,0.1063743567665188,0.23590321816246806,44.046875
ROC+BUF+SYR+ALB,MinMax,4,None,0.02552256961228827,0.010097308561818681,0.10048536491359665,0.1926562180827536,44.8125
ROC+BUF+SYR+ALB,MinMax,4,0,0.0409332010907022,0.009640884064921367,0.09818800367112761,0.20795191645631414,45.375
ROC+BUF+SYR+ALB,MinMax,4,42,0.07402972278555853,0.010893170925691913,0.10437035463047882,0.27231847449636176,44.8125
ROC+BUF+SYR+ALB,MinMax,5,None,0.06773498090208496,0.009902449528424874,0.0995110522928226,0.262195831801173,45.78125
ROC+BUF+SYR+ALB,MinMax,5,0,0.06611216041217693,0.009387776118770197,0.09689053678646949,0.25866879570643775,45.59375
ROC+BUF+SYR+ALB,MinMax,5,42,0.020456841010555005,0.011523405580644935,0.10734712655979635,0.1524683800547888,46.265625
ROC+BUF+SYR+ALB,None,2,None,-5450.789036109953,45.868865300479385,6.7726557051484155,-0.01508757411575596,43.484375
ROC+BUF+SYR+ALB,None,2,0,-27287.336457079065,274.31216303854876,16.562371902555164,0.020083033944581306,44.15625
ROC+BUF+SYR+ALB,None,2,42,-4031.048003029162,47.4332590995464,6.887180780228322,0.059405997049077876,44.140625
ROC+BUF+SYR+ALB,None,3,None,-4515.109438618598,41.70251355320919,6.457748334613946,-0.047752684710639356,44.09375
ROC+BUF+SYR+ALB,None,3,0,-1422.5163793438849,14.309698128825477,3.782816163762849,-0.1396411270769428,44.453125
ROC+BUF+SYR+ALB,None,3,42,-328.2174238214577,3.872933891778232,1.967977106517815,0.030869017743882947,44.09375
ROC+BUF+SYR+ALB,None,4,None,-286.4878930854016,3.143704694009233,1.7730495464056364,-0.04517748975422269,44.6875
ROC+BUF+SYR+ALB,None,4,0,-301.5225441795794,3.0410653134664596,1.7438650502451327,-0.0835585493693309,44.15625
ROC+BUF+SYR+ALB,None,4,42,-670.7874659413716,7.902948801176342,2.8112183837575375,-0.14035919760146257,45.171875
ROC+BUF+SYR+ALB,None,5,None,-551.0060418728224,4.67503662388675,2.162183300251565,0.04360365708688666,44.984375
ROC+BUF+SYR+ALB,None,5,0,-205.11888164994755,2.0719810589192607,1.4394377579177435,-0.0007403741007190375,45.015625
ROC+BUF+SYR+ALB,None,5,42,-35.894090365242526,0.43402433359471343,0.6588052319120677,0.015462956930936066,46.28125
ROC+BUF+SYR+ALB,ZScore,2,None,-7.845879928200974,0.11506268850730075,0.33920891572495665,0.13592086147195684,43.78125
ROC+BUF+SYR+ALB,ZScore,2,0,-5.123395974972067,0.06155457653778606,0.24810194787180945,0.08546492771990498,43.828125
ROC+BUF+SYR+ALB,ZScore,2,42,-4.069616986684724,0.059639284027427526,0.24421155588429375,0.073329256635796,43.703125
ROC+BUF+SYR+ALB,ZScore,3,None,-3.426877157824288,0.04433013652969338,0.210547231113813,0.10726104924114709,45.3125
ROC+BUF+SYR+ALB,ZScore,3,0,-2.321914271058344,0.033393075849673,0.1827377242106101,0.15824710564126743,43.6875
ROC+BUF+SYR+ALB,ZScore,3,42,-1.2244103564674793,0.02616809936359113,0.16176556915360923,0.14862205785614022,43.09375
ROC+BUF+SYR+ALB,ZScore,4,None,-0.5907307817145058,0.010899446485734567,0.10440041420288795,0.22193241668232436,45.203125
ROC+BUF+SYR+ALB,ZScore,4,0,-0.7951806410795021,0.018045800830475304,0.13433465982565818,0.14811894106811646,45.8125
ROC+BUF+SYR+ALB,ZScore,4,42,-0.7752195049954538,0.020883790737550118,0.14451225116767824,0.1311568264381651,44.796875
ROC+BUF+SYR+ALB,ZScore,5,None,-1.5857288009777815,0.0227549530456133,0.15084744958272678,0.1081480247333901,46.0
ROC+BUF+SYR+ALB,ZScore,5,0,-0.20443440273414493,0.01210740738160082,0.11003366476492919,0.23451992314322884,45.046875
ROC+BUF+SYR+ALB,ZScore,5,42,-0.12298941053481194,0.013210916049592316,0.11493874912140081,0.2680701815827794,46.109375
ROC,MinMax,2,None,-0.0689618822437954,0.008321763545683165,0.09122370056998984,0.05906175486285652,16.1875
ROC,MinMax,2,0,-0.2580133268329057,0.012646001978084425,0.11245444401216176,-0.2870001035909485,15.859375
ROC,MinMax,2,42,-0.2366640124806505,0.014548191013353647,0.12061588209416556,-0.24350487773934093,15.890625
ROC,MinMax,3,None,0.06288708882498173,0.0071348852947391034,0.0844682502171029,0.2619940283398838,17.203125
ROC,MinMax,3,0,-0.12511686423069057,0.01131007898497987,0.10634885511833153,-0.3124561296432408,17.234375
ROC,MinMax,3,42,0.042615942642464044,0.011262724554940411,0.10612598435322243,0.20876272895762166,16.125
ROC,MinMax,4,None,0.06532602868347637,0.004746195628151316,0.06889263841769537,0.297948965985786,17.0625
