Model,Normalization,Random State,Parameter,R^2,MSE,RMSE,PCC
KNN,ZScore,None,42,0.209562,0.006807,0.082504,0.464432
DWNN,ZScore,42,20,0.181974,0.009623,0.098098,0.426754
Linear,ZScore,None,N/A,0.146442,0.007026,0.083819,0.388020
WNN,ZScore,0,N/A,0.132945,0.008984,0.094785,0.368640
LSTM,MinMax,N/A,12,0.093923,0.006489,0.080555,0.310783
GRU,MinMax,N/A,9,0.073345,0.006626,0.081400,0.293189
Bidirectional,MinMax,N/A,3,0.067292,0.006645,0.081519,0.295810
SVR,ZScore,None,rbf,0.051143,0.013033,0.114164,0.314971
DNN,MinMax,None,5,0.038945,0.010208,0.101036,0.219028
