Source,Normalization,Kernel,Random State,R^2,MSE,RMSE,Pearson Corr,Runtime
ROC,None,sigmoid,0,-0.10933192014464743,0.011151403055338809,0.10560020386030895,0.17174046659487435,0.07713599999999587
ROC,None,sigmoid,42,-0.09274304386571885,0.012855095943790716,0.11338031550401823,0.1687366657886549,0.07779800000002979
ROC,MinMax,linear,None,-0.21887204400235016,0.011137837736347075,0.10553595470903304,0.3447666611141012,0.06422099999997499
ROC,MinMax,linear,0,-0.16354644637827676,0.011696386952860308,0.10814983565803651,0.29291317572608183,0.06568500000003041
ROC,MinMax,linear,42,-0.15936504331957657,0.013638841216528188,0.11678544950689786,0.3204485920468509,0.06388799999996309
ROC,MinMax,poly,None,-0.17419971494036535,0.012323115154836948,0.11100952731561804,0.3534289271248958,0.11926799999997684
ROC,MinMax,poly,0,-0.184688127120902,0.011908910724102344,0.10912795574050832,0.21867103864884374,0.09928600000000642
ROC,MinMax,poly,42,-0.137473686829084,0.013381309961028758,0.11567761218588823,0.25884519529232886,0.09348699999998189
ROC,MinMax,rbf,None,-0.20874901792632405,0.010583612665233832,0.10287668669447822,0.3264480612561665,0.06781699999999091
ROC,MinMax,rbf,0,-0.20335328950971054,0.01209653964301402,0.10998426997991131,0.21210267450432763,0.07365400000003319
ROC,MinMax,rbf,42,-0.1595115994794083,0.013640565312148257,0.11679283073951183,0.2745316447685429,0.07066000000003214
ROC,MinMax,sigmoid,None,-430.78997058079557,3.2842976042663055,1.812263116731758,-0.14976655875180397,0.4379639999999654
ROC,MinMax,sigmoid,0,-995.9444993965465,10.021644320055499,3.1656980778424684,-0.020314854613983635,0.43384600000001683
ROC,MinMax,sigmoid,42,-937.9205018864768,11.045518160100954,3.3234798269435837,-0.0341303233908097,0.44111700000001974
