Source,Normalization,Kernel,Random State,R^2,MSE,RMSE,Pearson Corr,Runtime
ROC+BUF+SYR+ALB,ZScore,linear,None,-0.08682150755077322,0.008945660310105324,0.09458150088735812,0.3260392428588374,1.460007
ROC+BUF+SYR+ALB,ZScore,linear,0,-0.05217910812978599,0.010576882453388918,0.10284397140031552,0.2817288415178908,1.8505420000000004
ROC+BUF+SYR+ALB,ZScore,linear,42,-0.07508160104832706,0.012647325651224806,0.11246032923313361,0.3667611401549105,1.6069809999999993
ROC+BUF+SYR+ALB,ZScore,poly,None,-21.347494182454003,0.19643342508532063,0.4432081058434295,-0.09292321687463002,0.4872309999999995
ROC+BUF+SYR+ALB,ZScore,poly,0,-0.99853640602042,0.02009000604741995,0.1417392184521276,0.19632730708423182,0.5543430000000003
ROC+BUF+SYR+ALB,ZScore,poly,42,-5.1147397346973715,0.0719341719008037,0.2682054658294713,-0.06276900023337521,0.42168099999999953
ROC+BUF+SYR+ALB,ZScore,rbf,None,0.05114324116702107,0.013033321566298786,0.11416357372778231,0.3149713364162744,0.13914000000000115
ROC+BUF+SYR+ALB,ZScore,rbf,0,-0.04458765445807211,0.010500570433395681,0.10247229105175545,0.30783525513392385,0.15056000000000047
ROC+BUF+SYR+ALB,ZScore,rbf,42,0.03631994101032143,0.011336791102879381,0.10647436829058617,0.38017697403311856,0.14598600000000062
ROC+BUF+SYR+ALB,ZScore,sigmoid,None,-171391.9509323745,1466.438812429587,38.29410936984417,-0.2601586366137198,0.8099299999999996
ROC+BUF+SYR+ALB,ZScore,sigmoid,0,-211105.5288410087,2122.118680595286,46.066459388532195,0.20637821297364833,0.7986640000000005
ROC+BUF+SYR+ALB,ZScore,sigmoid,42,-184097.42349609995,2165.7451039640737,46.53756658833886,-0.27284422205989517,0.8017620000000001
ROC+BUF+SYR+ALB,None,linear,None,-203.21973655046148,1.7505922742080369,1.323099495203606,0.12927813247748116,102.95465
ROC+BUF+SYR+ALB,None,linear,0,-174.4944911201441,1.7641336816641198,1.328206942333957,-0.013759133817371105,90.71392999999999
ROC+BUF+SYR+ALB,None,linear,42,-82.67300765065642,0.9843343751240575,0.992136268424886,0.082054277844791,78.25928900000002
ROC+BUF+SYR+ALB,None,poly,None,-0.227026740276846,0.013167114711639798,0.11474804883587257,0.28344218695085616,0.10150099999998474
ROC+BUF+SYR+ALB,None,poly,0,-0.21571391195313305,0.01222079306111047,0.11054769586522584,0.26809121511537953,0.0973769999999945
ROC+BUF+SYR+ALB,None,poly,42,-0.2049811271528983,0.014175471614268253,0.11906078957519244,0.13175078927422368,0.10399900000004436
ROC+BUF+SYR+ALB,None,rbf,None,-0.22466189925905455,0.013391782589367239,0.1157228697767526,0.29789508109185836,0.10515200000003233
ROC+BUF+SYR+ALB,None,rbf,0,-0.2351353525212172,0.012416024360018535,0.11142721552663216,0.2709724480293029,0.10001800000003414
ROC+BUF+SYR+ALB,None,rbf,42,-0.20838029556385473,0.014215459639172413,0.1192286024373867,0.1643814666546079,0.10510399999998299
ROC+BUF+SYR+ALB,None,sigmoid,None,-0.5905366638050515,0.011345157844726443,0.10651365097829688,0.05732597618947238,0.12498499999998103
ROC+BUF+SYR+ALB,None,sigmoid,0,-0.2160482667813981,0.012224154115981222,0.11056289665154953,0.06757190577469056,0.10478599999999005
ROC+BUF+SYR+ALB,None,sigmoid,42,-0.18555062093023134,0.013946889951698092,0.11809695149197583,0.06835118788067845,0.12549799999999323
ROC+BUF+SYR+ALB,MinMax,linear,None,-0.031725561187783136,0.0123211518219459,0.11100068388053246,0.3565419596933706,0.10768400000000611
ROC+BUF+SYR+ALB,MinMax,linear,0,-0.05577890716892098,0.010613068926774072,0.10301975017817736,0.33971718006880514,0.10744199999999182
ROC+BUF+SYR+ALB,MinMax,linear,42,-0.08664841394849754,0.01278339834501158,0.11306369154158898,0.39840670217225943,0.11430200000000923
ROC+BUF+SYR+ALB,MinMax,poly,None,0.012389704031720572,0.010199020099357322,0.10099019803603379,0.3263797764967698,0.18907899999999245
ROC+BUF+SYR+ALB,MinMax,poly,0,-0.0032268518436329163,0.010084796784165627,0.1004230888997427,0.30396442692393405,0.18193999999999733
ROC+BUF+SYR+ALB,MinMax,poly,42,-0.0012770842898708334,0.011779084806004057,0.10853149223153645,0.3526338549463978,0.2108079999999859
